Day,Day Number,Coef,High tide,Low tide,Coef 2,High tide 2,Low tide 2
Tuesday,01,108,07:23 4.15 m,01:06 0.2 m,103,19:43 3.97 m,13:29 0.36 m
Wednesday,02,96,08:09 3.88 m,01:50 0.38 m,88,20:29 3.73 m,14:13 0.64 m
Thursday,03,80,09:00 3.53 m,02:38 0.66 m,71,21:21 3.45 m,15:01 0.97 m
Friday,04,62,10:00 3.18 m,03:35 0.98 m,54,22:26 3.18 m,15:59 1.29 m
Saturday,05,47,11:22 2.91 m,04:47 1.26 m,42,23:53 3.02 m,17:17 1.54 m
Sunday,06,39,12:59 2.83 m,06:22 1.39 m,39,NC NC m,18:55 1.59 m
Monday,07,40,01:25 3.05 m,07:54 1.32 m,43,14:20 2.94 m,20:16 1.46 m
Tuesday,08,48,02:37 3.21 m,08:58 1.14 m,53,15:16 3.12 m,21:11 1.25 m
Wednesday,09,59,03:28 3.4 m,09:43 0.97 m,64,15:57 3.3 m,21:53 1.04 m
Thursday,10,69,04:08 3.56 m,10:20 0.83 m,73,16:32 3.46 m,22:29 0.87 m
Friday,11,77,04:43 3.68 m,10:52 0.72 m,81,17:03 3.58 m,23:01 0.74 m
Saturday,12,84,05:15 3.75 m,11:21 0.66 m,85,17:31 3.66 m,23:33 0.67 m
Sunday,13,87,05:45 3.75 m,11:50 0.66 m,87,17:59 3.69 m,00:03 0.66 m
Monday,14,87,06:13 3.71 m,12:18 0.7 m,85,18:27 3.67 m,00:32 0.71 m
Tuesday,15,83,06:42 3.61 m,12:45 0.79 m,81,18:54 3.59 m,NC NC m
Wednesday,16,78,07:10 3.47 m,01:02 0.82 m,74,19:23 3.48 m,13:13 0.92 m
Thursday,17,70,07:40 3.3 m,01:32 0.96 m,66,19:53 3.34 m,13:42 1.08 m
Friday,18,61,08:13 3.12 m,02:05 1.11 m,57,20:29 3.18 m,14:14 1.25 m
Saturday,19,52,08:55 2.93 m,02:44 1.28 m,47,21:16 3.03 m,14:55 1.42 m
Sunday,20,43,09:54 2.77 m,03:37 1.43 m,40,22:23 2.92 m,15:53 1.58 m
Monday,21,38,11:22 2.7 m,04:53 1.51 m,38,23:54 2.93 m,17:19 1.64 m
Tuesday,22,41,12:53 2.81 m,06:25 1.45 m,41,NC NC m,18:52 1.53 m
Wednesday,23,46,01:18 3.11 m,07:43 1.23 m,52,14:04 3.06 m,20:04 1.27 m
Thursday,24,60,02:22 3.39 m,08:42 0.93 m,69,14:58 3.37 m,20:59 0.94 m
Friday,25,77,03:17 3.7 m,09:31 0.64 m,85,15:46 3.67 m,21:48 0.63 m
Saturday,26,92,04:05 3.96 m,10:16 0.41 m,98,16:31 3.92 m,22:34 0.38 m
Sunday,27,104,04:51 4.14 m,11:00 0.26 m,107,17:14 4.08 m,23:19 0.22 m
Monday,28,109,05:36 4.21 m,11:43 0.22 m,110,17:57 4.14 m,00:04 0.18 m
Tuesday,29,109,06:22 4.15 m,12:26 0.3 m,107,18:41 4.1 m,00:49 0.25 m
Wednesday,30,103,07:07 3.98 m,NC NC m,98,19:26 3.95 m,13:10 0.47 m
