Day,Day Number,Coef,High tide,Low tide,Coef 2,High tide 2,Low tide 2
Thursday,01,54,03:08 3.19 m,09:11 1.25 m,58,15:32 3.35 m,21:46 1.05 m
Friday,02,62,04:07 3.29 m,10:05 1.12 m,66,16:23 3.52 m,22:37 0.9 m
Saturday,03,70,04:53 3.4 m,10:49 0.99 m,73,17:07 3.67 m,23:20 0.78 m
Sunday,04,77,05:34 3.49 m,11:29 0.87 m,79,17:47 3.78 m,23:58 0.7 m
Monday,05,82,06:10 3.55 m,12:05 0.79 m,83,18:22 3.83 m,00:33 0.67 m
Tuesday,06,84,06:44 3.56 m,12:39 0.76 m,84,18:56 3.83 m,NC NC m
Wednesday,07,83,07:16 3.54 m,01:07 0.7 m,82,19:29 3.76 m,13:13 0.79 m
Thursday,08,80,07:47 3.48 m,01:38 0.78 m,78,20:00 3.64 m,13:45 0.87 m
Friday,09,75,08:17 3.38 m,02:09 0.9 m,71,20:31 3.49 m,14:18 0.99 m
Saturday,10,67,08:49 3.26 m,02:41 1.05 m,63,21:04 3.32 m,14:51 1.14 m
Sunday,11,59,09:22 3.13 m,03:14 1.21 m,54,21:40 3.13 m,15:26 1.3 m
Monday,12,50,10:04 2.99 m,03:52 1.37 m,46,22:27 2.96 m,16:10 1.46 m
Tuesday,13,42,10:58 2.88 m,04:39 1.52 m,39,23:32 2.83 m,17:10 1.59 m
Wednesday,14,37,12:13 2.84 m,05:46 1.62 m,37,00:57 2.81 m,18:33 1.62 m
Thursday,15,37,NC NC m,07:10 1.61 m,39,13:37 2.93 m,19:59 1.49 m
Friday,16,43,02:20 2.94 m,08:26 1.45 m,49,14:48 3.16 m,21:07 1.24 m
Saturday,17,56,03:23 3.17 m,09:26 1.2 m,63,15:44 3.46 m,22:00 0.93 m
Sunday,18,71,04:15 3.44 m,10:15 0.92 m,79,16:32 3.77 m,22:46 0.64 m
Monday,19,87,05:01 3.7 m,11:00 0.66 m,93,17:17 4.04 m,23:30 0.4 m
Tuesday,20,99,05:44 3.9 m,11:43 0.45 m,104,18:01 4.23 m,00:12 0.25 m
Wednesday,21,107,06:26 4.02 m,12:25 0.33 m,109,18:44 4.31 m,00:54 0.22 m
Thursday,22,109,07:08 4.04 m,NC NC m,107,19:27 4.27 m,13:07 0.32 m
Friday,23,105,07:51 3.95 m,01:37 0.3 m,100,20:12 4.1 m,13:52 0.41 m
Saturday,24,95,08:35 3.78 m,02:21 0.5 m,88,20:59 3.84 m,14:37 0.6 m
Sunday,25,81,09:23 3.54 m,03:07 0.77 m,73,21:52 3.52 m,15:27 0.86 m
Monday,26,65,10:19 3.29 m,04:00 1.08 m,57,22:57 3.21 m,16:27 1.14 m
Tuesday,27,50,11:30 3.08 m,05:04 1.37 m,45,00:22 2.99 m,17:45 1.36 m
Wednesday,28,42,12:59 3.01 m,06:27 1.54 m,42,NC NC m,19:21 1.42 m
Thursday,29,41,01:53 2.96 m,07:57 1.53 m,44,14:22 3.11 m,20:44 1.3 m
Friday,30,48,03:07 3.07 m,09:06 1.38 m,53,15:25 3.31 m,21:42 1.11 m
Saturday,31,58,04:00 3.24 m,09:55 1.19 m,63,16:13 3.51 m,22:26 0.93 m
