Day,Day Number,Coef,High tide,Low tide,Coef 2,High tide 2,Low tide 2
Sunday,01,77,04:15 3.63 m,10:23 0.87 m,78,16:33 3.54 m,22:36 0.89 m
Monday,02,78,04:49 3.67 m,10:59 0.84 m,79,17:08 3.52 m,23:09 0.91 m
Tuesday,03,78,05:24 3.67 m,11:35 0.85 m,77,17:46 3.47 m,23:45 0.96 m
Wednesday,04,76,06:01 3.65 m,NC NC m,74,18:26 3.39 m,12:14 0.89 m
Thursday,05,72,06:42 3.59 m,00:23 1.03 m,70,19:10 3.29 m,12:57 0.95 m
Friday,06,67,07:28 3.51 m,01:07 1.12 m,65,20:02 3.19 m,13:46 1.04 m
Saturday,07,62,08:22 3.43 m,01:57 1.22 m,59,21:03 3.1 m,14:42 1.13 m
Sunday,08,57,09:26 3.36 m,02:57 1.31 m,56,22:12 3.08 m,15:49 1.18 m
Monday,09,56,10:38 3.34 m,04:08 1.34 m,57,23:24 3.13 m,17:01 1.18 m
Tuesday,10,59,11:51 3.4 m,05:23 1.28 m,59,NC NC m,18:11 1.1 m
Wednesday,11,62,00:32 3.27 m,06:35 1.14 m,66,12:58 3.52 m,19:14 0.97 m
Thursday,12,70,01:33 3.46 m,07:38 0.95 m,74,13:59 3.65 m,20:09 0.83 m
Friday,13,79,02:27 3.65 m,08:35 0.75 m,83,14:54 3.76 m,21:00 0.72 m
Saturday,14,86,03:18 3.82 m,09:26 0.6 m,89,15:45 3.83 m,21:48 0.65 m
Sunday,15,91,04:06 3.94 m,10:15 0.51 m,92,16:33 3.84 m,22:33 0.63 m
Monday,16,93,04:51 3.99 m,11:01 0.49 m,92,17:19 3.78 m,23:16 0.67 m
Tuesday,17,91,05:36 3.97 m,11:47 0.55 m,89,18:03 3.67 m,23:59 0.76 m
Wednesday,18,86,06:19 3.89 m,NC NC m,82,18:47 3.52 m,12:32 0.67 m
Thursday,19,79,07:03 3.75 m,00:41 0.89 m,74,19:31 3.36 m,13:17 0.83 m
Friday,20,70,07:47 3.58 m,01:25 1.04 m,65,20:17 3.19 m,14:03 1.01 m
Saturday,21,61,08:34 3.4 m,02:10 1.21 m,56,21:06 3.04 m,14:52 1.19 m
Sunday,22,52,09:24 3.23 m,03:00 1.36 m,49,21:59 2.93 m,15:44 1.34 m
Monday,23,46,10:21 3.09 m,03:56 1.49 m,43,22:59 2.88 m,16:41 1.45 m
Tuesday,24,42,11:22 3.01 m,05:00 1.56 m,42,NC NC m,17:42 1.49 m
Wednesday,25,42,00:01 2.9 m,06:07 1.56 m,42,12:23 2.99 m,18:41 1.46 m
Thursday,26,44,00:59 2.98 m,07:07 1.48 m,46,13:21 3.04 m,19:34 1.38 m
Friday,27,49,01:51 3.1 m,08:01 1.36 m,52,14:12 3.13 m,20:21 1.27 m
Saturday,28,55,02:37 3.25 m,08:47 1.22 m,59,14:57 3.24 m,21:03 1.15 m
Sunday,29,63,03:18 3.41 m,09:29 1.06 m,67,15:39 3.36 m,21:42 1.03 m
Monday,30,71,03:57 3.55 m,10:08 0.92 m,74,16:20 3.46 m,22:21 0.93 m
Tuesday,31,77,04:36 3.69 m,10:48 0.8 m,80,16:59 3.54 m,22:58 0.85 m
