Day,Day Number,Coef,High tide,Low tide,Coef 2,High tide 2,Low tide 2
Saturday,01,100,06:22 4.13 m,00:04 0.5 m,99,18:46 3.83 m,12:33 0.39 m
Sunday,02,97,07:04 4.07 m,00:44 0.52 m,94,19:28 3.73 m,13:15 0.49 m
Monday,03,90,07:49 3.91 m,01:27 0.62 m,85,20:14 3.57 m,13:59 0.67 m
Tuesday,04,79,08:37 3.67 m,02:15 0.79 m,72,21:06 3.37 m,14:49 0.91 m
Wednesday,05,66,09:36 3.4 m,03:08 1.01 m,59,22:08 3.17 m,15:47 1.16 m
Thursday,06,53,10:49 3.16 m,04:16 1.23 m,49,23:27 3.06 m,16:59 1.37 m
Friday,07,47,NC NC m,05:42 1.34 m,47,12:18 3.05 m,18:26 1.44 m
Saturday,08,47,00:54 3.1 m,07:13 1.29 m,49,13:42 3.1 m,19:46 1.35 m
Sunday,09,53,02:08 3.27 m,08:26 1.11 m,58,14:48 3.25 m,20:47 1.17 m
Monday,10,64,03:07 3.5 m,09:21 0.9 m,69,15:38 3.42 m,21:35 0.98 m
Tuesday,11,74,03:53 3.71 m,10:06 0.72 m,79,16:21 3.56 m,22:15 0.81 m
Wednesday,12,83,04:33 3.86 m,10:44 0.6 m,86,16:57 3.65 m,22:52 0.69 m
Thursday,13,89,05:09 3.95 m,11:19 0.54 m,90,17:30 3.7 m,23:26 0.63 m
Friday,14,91,05:43 3.97 m,11:52 0.55 m,91,18:02 3.69 m,23:59 0.63 m
Saturday,15,90,06:15 3.9 m,NC NC m,88,18:32 3.63 m,12:23 0.63 m
Sunday,16,86,06:45 3.78 m,00:31 0.7 m,82,19:01 3.53 m,12:53 0.75 m
Monday,17,79,07:15 3.61 m,01:02 0.83 m,74,19:30 3.39 m,13:23 0.92 m
Tuesday,18,69,07:45 3.4 m,01:33 1 m,64,20:01 3.22 m,13:53 1.11 m
Wednesday,19,59,08:18 3.18 m,02:06 1.2 m,53,20:36 3.05 m,14:26 1.31 m
Thursday,20,48,08:57 2.96 m,02:44 1.41 m,42,21:22 2.87 m,15:07 1.51 m
Friday,21,37,09:53 2.76 m,03:37 1.6 m,33,22:34 2.75 m,16:06 1.68 m
Saturday,22,30,11:25 2.65 m,04:59 1.72 m,30,NC NC m,17:39 1.75 m
Sunday,23,30,00:12 2.77 m,06:42 1.65 m,33,13:05 2.74 m,19:12 1.62 m
Monday,24,39,01:35 2.97 m,07:57 1.4 m,46,14:13 2.98 m,20:15 1.37 m
Tuesday,25,54,02:32 3.27 m,08:50 1.09 m,62,15:03 3.27 m,21:04 1.07 m
Wednesday,26,71,03:19 3.6 m,09:33 0.77 m,79,15:46 3.56 m,21:45 0.77 m
Thursday,27,87,04:01 3.9 m,10:13 0.49 m,94,16:25 3.81 m,22:25 0.51 m
Friday,28,100,04:41 4.14 m,10:52 0.28 m,105,17:05 3.99 m,23:05 0.33 m
