Day,Day Number,Coef,High tide,Low tide,Coef 2,High tide 2,Low tide 2
Wednesday,01,82,05:15 3.79 m,11:26 0.71 m,84,17:39 3.59 m,23:37 0.8 m
Thursday,02,85,05:54 3.84 m,NC NC m,85,18:20 3.59 m,12:07 0.66 m
Friday,03,85,06:36 3.85 m,00:17 0.8 m,84,19:03 3.54 m,12:49 0.68 m
Saturday,04,82,07:20 3.81 m,00:59 0.83 m,80,19:49 3.46 m,13:34 0.74 m
Sunday,05,77,08:08 3.71 m,01:46 0.91 m,74,20:39 3.36 m,14:23 0.86 m
Monday,06,70,09:02 3.57 m,02:37 1.02 m,66,21:37 3.25 m,15:19 1 m
Tuesday,07,63,10:05 3.43 m,03:37 1.14 m,60,22:44 3.17 m,16:22 1.13 m
Wednesday,08,57,11:17 3.32 m,04:47 1.23 m,57,23:57 3.17 m,17:33 1.21 m
Thursday,09,56,NC NC m,06:05 1.23 m,57,12:34 3.29 m,18:47 1.21 m
Friday,10,58,01:09 3.27 m,07:20 1.13 m,61,13:45 3.35 m,19:53 1.12 m
Saturday,11,64,02:14 3.43 m,08:25 0.97 m,68,14:48 3.46 m,20:51 1 m
Sunday,12,72,03:10 3.62 m,09:22 0.8 m,76,15:41 3.56 m,21:40 0.87 m
Monday,13,80,03:59 3.78 m,10:11 0.66 m,83,16:28 3.64 m,22:25 0.77 m
Tuesday,14,86,04:44 3.9 m,10:55 0.58 m,87,17:11 3.68 m,23:07 0.71 m
Wednesday,15,88,05:25 3.96 m,11:37 0.56 m,89,17:51 3.66 m,23:45 0.71 m
Thursday,16,88,06:05 3.94 m,NC NC m,87,18:28 3.6 m,12:16 0.61 m
Friday,17,85,06:41 3.86 m,00:22 0.75 m,82,19:04 3.5 m,12:52 0.71 m
Saturday,18,79,07:18 3.72 m,01:00 0.85 m,75,19:38 3.37 m,13:29 0.86 m
Sunday,19,71,07:53 3.54 m,01:37 0.99 m,67,20:14 3.23 m,14:06 1.03 m
Monday,20,62,08:31 3.34 m,02:14 1.15 m,57,20:53 3.08 m,14:44 1.22 m
Tuesday,21,53,09:12 3.14 m,02:55 1.33 m,48,21:38 2.94 m,15:26 1.39 m
Wednesday,22,44,10:02 2.96 m,03:44 1.5 m,40,22:36 2.84 m,16:19 1.54 m
Thursday,23,37,11:07 2.82 m,04:47 1.63 m,37,23:48 2.81 m,17:25 1.63 m
Friday,24,35,NC NC m,06:06 1.66 m,35,12:24 2.8 m,18:40 1.61 m
Saturday,25,37,01:04 2.89 m,07:22 1.56 m,40,13:37 2.89 m,19:47 1.49 m
Sunday,26,44,02:06 3.06 m,08:22 1.36 m,50,14:36 3.06 m,20:40 1.3 m
Monday,27,56,02:56 3.29 m,09:11 1.12 m,62,15:23 3.27 m,21:24 1.09 m
Tuesday,28,69,03:40 3.54 m,09:53 0.88 m,75,16:06 3.48 m,22:06 0.88 m
Wednesday,29,81,04:22 3.78 m,10:34 0.65 m,86,16:46 3.66 m,22:45 0.7 m
Thursday,30,91,05:01 3.97 m,11:13 0.49 m,95,17:26 3.79 m,23:24 0.56 m
Friday,31,97,05:41 4.09 m,11:52 0.39 m,99,18:06 3.85 m,NC NC m
