Day,Day Number,Coef,High tide,Low tide,Coef 2,High tide 2,Low tide 2
Tuesday,01,65,09:50 3.18 m,03:35 0.99 m,61,22:07 3.37 m,15:44 1.16 m
Wednesday,02,57,10:37 3.05 m,04:23 1.16 m,53,22:58 3.19 m,16:36 1.31 m
Thursday,03,50,11:31 2.95 m,05:15 1.31 m,47,23:54 3.05 m,17:32 1.42 m
Friday,04,45,12:29 2.91 m,06:11 1.41 m,45,00:54 2.97 m,18:35 1.48 m
Saturday,05,43,NC NC m,07:10 1.44 m,43,13:29 2.93 m,19:39 1.48 m
Sunday,06,44,01:55 2.95 m,08:08 1.42 m,45,14:27 3.01 m,20:38 1.41 m
Monday,07,47,02:52 3 m,09:00 1.35 m,50,15:18 3.13 m,21:31 1.29 m
Tuesday,08,53,03:42 3.09 m,09:47 1.25 m,56,16:04 3.27 m,22:17 1.16 m
Wednesday,09,60,04:27 3.19 m,10:29 1.13 m,63,16:45 3.41 m,22:58 1.02 m
Thursday,10,67,05:08 3.3 m,11:08 1.03 m,70,17:24 3.54 m,23:37 0.89 m
Friday,11,73,05:48 3.4 m,11:46 0.94 m,76,18:02 3.65 m,00:15 0.79 m
Saturday,12,78,06:25 3.47 m,12:23 0.87 m,80,18:40 3.74 m,00:52 0.72 m
Sunday,13,82,07:04 3.51 m,NC NC m,82,19:19 3.78 m,13:01 0.82 m
Monday,14,83,07:43 3.51 m,01:31 0.7 m,82,19:59 3.77 m,13:40 0.82 m
Tuesday,15,81,08:25 3.47 m,02:12 0.72 m,79,20:42 3.72 m,14:22 0.85 m
Wednesday,16,77,09:10 3.4 m,02:56 0.79 m,74,21:31 3.61 m,15:08 0.93 m
Thursday,17,71,10:01 3.31 m,03:45 0.91 m,68,22:25 3.48 m,16:01 1.03 m
Friday,18,64,10:59 3.22 m,04:40 1.05 m,61,23:31 3.34 m,17:03 1.14 m
Saturday,19,59,12:08 3.17 m,05:45 1.16 m,59,00:45 3.26 m,18:16 1.2 m
Sunday,20,57,NC NC m,06:58 1.22 m,57,13:22 3.21 m,19:35 1.16 m
Monday,21,58,02:02 3.27 m,08:11 1.17 m,61,14:35 3.34 m,20:49 1.03 m
Tuesday,22,64,03:12 3.36 m,09:17 1.06 m,68,15:38 3.53 m,21:52 0.85 m
Wednesday,23,73,04:12 3.49 m,10:13 0.91 m,77,16:33 3.72 m,22:46 0.68 m
Thursday,24,81,05:05 3.61 m,11:02 0.77 m,85,17:22 3.89 m,23:34 0.55 m
Friday,25,88,05:51 3.69 m,11:47 0.68 m,90,18:06 3.99 m,00:18 0.49 m
Saturday,26,91,06:33 3.71 m,12:28 0.63 m,91,18:48 4.01 m,00:58 0.51 m
Sunday,27,91,07:12 3.68 m,NC NC m,90,19:27 3.95 m,13:07 0.65 m
Monday,28,87,07:49 3.6 m,01:37 0.6 m,84,20:05 3.82 m,13:45 0.73 m
Tuesday,29,81,08:25 3.47 m,02:15 0.74 m,77,20:41 3.64 m,14:23 0.86 m
Wednesday,30,72,09:02 3.33 m,02:52 0.92 m,67,21:19 3.43 m,15:02 1.03 m
Thursday,31,62,09:39 3.17 m,03:30 1.12 m,57,21:59 3.2 m,15:42 1.22 m
