Day,Day Number,Coef,High tide,Low tide,Coef 2,High tide 2,Low tide 2
Sunday,01,67,09:33 3.2 m,03:13 0.89 m,62,21:52 3.41 m,15:25 1.16 m
Monday,02,57,10:33 3.04 m,04:11 1.08 m,53,22:52 3.26 m,16:24 1.32 m
Tuesday,03,50,11:36 2.94 m,05:15 1.22 m,48,23:57 3.16 m,17:29 1.41 m
Wednesday,04,47,12:39 2.93 m,06:19 1.29 m,47,00:59 3.12 m,18:36 1.43 m
Thursday,05,47,NC NC m,07:19 1.3 m,48,13:37 2.98 m,19:37 1.38 m
Friday,06,49,01:55 3.14 m,08:10 1.25 m,51,14:27 3.07 m,20:30 1.29 m
Saturday,07,54,02:45 3.18 m,08:56 1.19 m,56,15:11 3.18 m,21:16 1.19 m
Sunday,08,59,03:29 3.24 m,09:37 1.11 m,61,15:52 3.3 m,21:58 1.09 m
Monday,09,64,04:09 3.29 m,10:14 1.04 m,66,16:29 3.4 m,22:37 1.01 m
Tuesday,10,68,04:47 3.33 m,10:51 0.99 m,69,17:05 3.47 m,23:15 0.95 m
Wednesday,11,71,05:24 3.36 m,11:26 0.97 m,72,17:40 3.52 m,23:52 0.91 m
Thursday,12,72,06:01 3.36 m,12:01 0.97 m,73,18:16 3.55 m,00:28 0.9 m
Friday,13,73,06:38 3.34 m,12:37 0.99 m,72,18:52 3.55 m,NC NC m
Saturday,14,72,07:17 3.3 m,01:06 0.91 m,71,19:31 3.53 m,13:13 1.02 m
Sunday,15,70,07:58 3.25 m,01:45 0.93 m,68,20:13 3.49 m,13:53 1.07 m
Monday,16,67,08:43 3.2 m,02:29 0.97 m,65,21:00 3.45 m,14:37 1.12 m
Tuesday,17,64,09:34 3.14 m,03:17 1.02 m,62,21:53 3.4 m,15:29 1.18 m
Wednesday,18,61,10:31 3.11 m,04:12 1.07 m,60,22:54 3.36 m,16:28 1.22 m
Thursday,19,59,11:36 3.12 m,05:14 1.1 m,60,00:02 3.35 m,17:35 1.22 m
Friday,20,61,12:42 3.19 m,06:21 1.09 m,61,NC NC m,18:45 1.15 m
Saturday,21,63,01:11 3.4 m,07:27 1.03 m,65,13:48 3.31 m,19:54 1.02 m
Sunday,22,68,02:18 3.48 m,08:30 0.92 m,72,14:50 3.48 m,20:58 0.85 m
Monday,23,76,03:19 3.59 m,09:27 0.81 m,79,15:46 3.66 m,21:56 0.68 m
Tuesday,24,83,04:16 3.69 m,10:20 0.71 m,86,16:39 3.82 m,22:50 0.55 m
Wednesday,25,88,05:09 3.75 m,11:10 0.64 m,90,17:29 3.93 m,23:41 0.47 m
Thursday,26,91,05:59 3.75 m,11:57 0.62 m,92,18:17 3.97 m,00:29 0.46 m
Friday,27,91,06:47 3.71 m,12:43 0.66 m,90,19:04 3.95 m,NC NC m
Saturday,28,88,07:33 3.61 m,01:17 0.52 m,85,19:50 3.86 m,13:28 0.74 m
Sunday,29,82,08:18 3.48 m,02:03 0.65 m,78,20:35 3.73 m,14:12 0.86 m
Monday,30,74,09:04 3.33 m,02:49 0.81 m,70,21:21 3.55 m,14:57 1 m
