Day,Day Number,Coef,High tide,Low tide,Coef 2,High tide 2,Low tide 2
Saturday,01,108,05:22 4.28 m,11:31 0.19 m,110,17:44 4.07 m,23:44 0.25 m
Sunday,02,111,06:02 4.3 m,NC NC m,109,18:23 4.04 m,12:11 0.21 m
Monday,03,107,06:44 4.19 m,00:25 0.28 m,102,19:05 3.91 m,12:52 0.35 m
Tuesday,04,97,07:27 3.96 m,01:07 0.43 m,90,19:49 3.69 m,13:35 0.6 m
Wednesday,05,82,08:16 3.65 m,01:54 0.67 m,73,20:38 3.42 m,14:22 0.91 m
Thursday,06,65,09:13 3.3 m,02:48 0.97 m,56,21:41 3.16 m,15:19 1.24 m
Friday,07,49,10:31 3 m,03:56 1.26 m,43,23:07 2.99 m,16:35 1.5 m
Saturday,08,40,NC NC m,05:32 1.41 m,40,12:11 2.88 m,18:14 1.58 m
Sunday,09,40,00:45 3.02 m,07:11 1.34 m,43,13:39 2.98 m,19:39 1.45 m
Monday,10,48,02:00 3.22 m,08:22 1.14 m,54,14:40 3.17 m,20:37 1.23 m
Tuesday,11,61,02:54 3.45 m,09:10 0.92 m,67,15:25 3.36 m,21:21 1.01 m
Wednesday,12,72,03:37 3.66 m,09:49 0.75 m,77,16:02 3.52 m,21:57 0.82 m
Thursday,13,82,04:13 3.81 m,10:22 0.63 m,85,16:34 3.64 m,22:30 0.68 m
Friday,14,88,04:45 3.89 m,10:52 0.57 m,90,17:03 3.71 m,23:01 0.6 m
Saturday,15,91,05:16 3.91 m,11:22 0.56 m,92,17:31 3.73 m,23:31 0.59 m
Sunday,16,91,05:44 3.85 m,11:51 0.62 m,90,17:58 3.69 m,NC NC m
Monday,17,87,06:12 3.74 m,00:01 0.65 m,84,18:25 3.6 m,12:18 0.73 m
Tuesday,18,81,06:39 3.57 m,00:29 0.77 m,76,18:52 3.47 m,12:45 0.88 m
Wednesday,19,72,07:07 3.38 m,00:58 0.94 m,67,19:21 3.31 m,13:12 1.06 m
Thursday,20,62,07:37 3.17 m,01:29 1.13 m,56,19:53 3.13 m,13:42 1.26 m
Friday,21,50,08:15 2.95 m,02:05 1.33 m,45,20:36 2.95 m,14:19 1.46 m
Saturday,22,39,09:09 2.74 m,02:53 1.53 m,35,21:44 2.8 m,15:15 1.65 m
Sunday,23,31,10:44 2.62 m,04:14 1.66 m,31,23:27 2.79 m,16:49 1.75 m
Monday,24,34,NC NC m,06:03 1.6 m,34,12:31 2.72 m,18:33 1.63 m
Tuesday,25,40,00:58 2.99 m,07:24 1.34 m,47,13:43 2.99 m,19:43 1.35 m
Wednesday,26,56,02:00 3.32 m,08:19 1 m,65,14:34 3.32 m,20:34 1 m
Thursday,27,75,02:50 3.67 m,09:04 0.67 m,84,15:18 3.64 m,21:18 0.67 m
Friday,28,92,03:34 3.98 m,09:46 0.38 m,99,15:59 3.91 m,22:00 0.38 m
Saturday,29,105,04:16 4.21 m,10:26 0.19 m,110,16:39 4.1 m,22:41 0.2 m
Sunday,30,113,05:58 4.33 m,12:07 0.12 m,114,18:20 4.17 m,00:23 0.13 m
Monday,31,114,06:40 4.31 m,12:48 0.18 m,112,19:01 4.12 m,NC NC m
