Day,Day Number,Coef,High tide,Low tide,Coef 2,High tide 2,Low tide 2
Thursday,01,91,07:56 3.73 m,01:37 0.44 m,84,20:15 3.74 m,13:56 0.72 m
Friday,02,77,08:50 3.43 m,02:28 0.69 m,70,21:09 3.49 m,14:46 1.01 m
Saturday,03,62,09:51 3.14 m,03:26 0.96 m,55,22:13 3.27 m,15:45 1.27 m
Sunday,04,50,11:05 2.93 m,04:36 1.19 m,46,23:29 3.12 m,16:56 1.47 m
Monday,05,44,12:26 2.87 m,05:57 1.31 m,44,00:48 3.11 m,18:19 1.52 m
Tuesday,06,43,NC NC m,07:15 1.29 m,45,13:37 2.93 m,19:33 1.44 m
Wednesday,07,48,01:55 3.18 m,08:16 1.2 m,51,14:34 3.06 m,20:30 1.3 m
Thursday,08,55,02:48 3.29 m,09:02 1.08 m,59,15:17 3.2 m,21:15 1.14 m
Friday,09,63,03:31 3.4 m,09:40 0.98 m,66,15:53 3.34 m,21:54 1 m
Saturday,10,69,04:07 3.48 m,10:15 0.89 m,72,16:27 3.46 m,22:30 0.89 m
Sunday,11,75,04:41 3.53 m,10:47 0.83 m,77,16:59 3.55 m,23:04 0.82 m
Monday,12,78,05:14 3.54 m,11:18 0.82 m,79,17:30 3.59 m,23:37 0.8 m
Tuesday,13,79,05:46 3.52 m,11:49 0.84 m,78,18:01 3.59 m,00:08 0.83 m
Wednesday,14,77,06:18 3.45 m,12:20 0.9 m,75,18:32 3.54 m,00:41 0.89 m
Thursday,15,73,06:50 3.36 m,12:51 0.99 m,71,19:04 3.47 m,NC NC m
Friday,16,68,07:24 3.24 m,01:16 0.97 m,66,19:39 3.38 m,13:24 1.1 m
Saturday,17,63,08:04 3.12 m,01:53 1.07 m,60,20:20 3.29 m,14:01 1.21 m
Sunday,18,57,08:51 3 m,02:37 1.17 m,54,21:09 3.2 m,14:46 1.33 m
Monday,19,51,09:49 2.91 m,03:30 1.26 m,49,22:11 3.14 m,15:43 1.42 m
Tuesday,20,48,10:59 2.89 m,04:36 1.3 m,49,23:24 3.15 m,16:54 1.45 m
Wednesday,21,50,12:14 2.97 m,05:50 1.26 m,50,00:38 3.26 m,18:11 1.37 m
Thursday,22,54,NC NC m,07:01 1.12 m,58,13:22 3.14 m,19:22 1.18 m
Friday,23,63,01:45 3.44 m,08:03 0.93 m,69,14:22 3.37 m,20:24 0.94 m
Saturday,24,75,02:44 3.64 m,08:58 0.73 m,81,15:15 3.61 m,21:20 0.69 m
Sunday,25,86,03:38 3.82 m,09:49 0.56 m,91,16:05 3.82 m,22:11 0.49 m
Monday,26,95,04:29 3.94 m,10:37 0.46 m,98,16:52 3.97 m,23:00 0.36 m
Tuesday,27,100,05:19 3.98 m,11:22 0.43 m,100,17:39 4.03 m,23:49 0.32 m
Wednesday,28,100,06:07 3.93 m,12:09 0.48 m,98,18:27 4.02 m,00:37 0.37 m
Thursday,29,95,06:56 3.8 m,12:55 0.6 m,92,19:15 3.93 m,NC NC m
Friday,30,88,07:46 3.62 m,01:27 0.5 m,83,20:04 3.78 m,13:43 0.77 m
Saturday,31,77,08:37 3.41 m,02:19 0.69 m,72,20:56 3.6 m,14:32 0.97 m
