Day,Day Number,Coef,High tide,Low tide,Coef 2,High tide 2,Low tide 2
Friday,01,83,04:11 3.68 m,10:15 0.78 m,84,16:24 3.7 m,22:29 0.77 m
Saturday,02,84,04:39 3.71 m,10:45 0.78 m,84,16:54 3.66 m,22:58 0.8 m
Sunday,03,83,05:08 3.69 m,11:16 0.81 m,81,17:24 3.58 m,23:27 0.88 m
Monday,04,79,05:38 3.63 m,11:47 0.89 m,76,17:56 3.47 m,23:57 0.99 m
Tuesday,05,73,06:10 3.54 m,NC NC m,70,18:31 3.33 m,12:21 0.99 m
Wednesday,06,66,06:46 3.43 m,00:31 1.13 m,62,19:12 3.16 m,13:00 1.12 m
Thursday,07,58,07:30 3.3 m,01:11 1.29 m,54,20:06 3 m,13:49 1.26 m
Friday,08,50,08:29 3.17 m,02:03 1.44 m,47,21:18 2.89 m,14:53 1.37 m
Saturday,09,45,09:46 3.12 m,03:12 1.55 m,45,22:44 2.9 m,16:15 1.4 m
Sunday,10,47,11:11 3.19 m,04:39 1.54 m,47,NC NC m,17:38 1.28 m
Monday,11,51,00:04 3.06 m,06:02 1.37 m,57,12:26 3.39 m,18:48 1.06 m
Tuesday,12,63,01:07 3.32 m,07:07 1.1 m,71,13:28 3.64 m,19:44 0.81 m
Wednesday,13,78,02:01 3.59 m,08:03 0.81 m,85,14:22 3.88 m,20:34 0.6 m
Thursday,14,91,02:49 3.84 m,08:52 0.56 m,96,15:10 4.05 m,21:19 0.45 m
Friday,15,100,03:34 4.02 m,09:39 0.39 m,103,15:57 4.13 m,22:03 0.38 m
Saturday,16,104,04:18 4.11 m,10:24 0.31 m,104,16:42 4.11 m,22:46 0.42 m
Sunday,17,103,05:02 4.12 m,11:09 0.34 m,101,17:27 3.98 m,23:28 0.54 m
Monday,18,97,05:45 4.03 m,11:55 0.47 m,93,18:13 3.78 m,NC NC m
Tuesday,19,87,06:31 3.86 m,00:12 0.73 m,81,19:01 3.53 m,12:43 0.67 m
Wednesday,20,75,07:18 3.66 m,00:57 0.96 m,68,19:52 3.27 m,13:34 0.92 m
Thursday,21,62,08:10 3.43 m,01:46 1.2 m,56,20:51 3.04 m,14:30 1.15 m
Friday,22,51,09:11 3.24 m,02:42 1.41 m,46,21:59 2.89 m,15:35 1.34 m
Saturday,23,43,10:21 3.11 m,03:50 1.56 m,41,23:11 2.85 m,16:48 1.43 m
Sunday,24,41,11:32 3.08 m,05:05 1.6 m,41,NC NC m,17:57 1.42 m
Monday,25,42,00:18 2.91 m,06:15 1.54 m,44,12:35 3.13 m,18:54 1.35 m
Tuesday,26,47,01:11 3.04 m,07:11 1.41 m,51,13:26 3.21 m,19:40 1.24 m
Wednesday,27,54,01:55 3.18 m,07:57 1.27 m,58,14:09 3.31 m,20:20 1.13 m
Thursday,28,62,02:34 3.33 m,08:37 1.14 m,65,14:48 3.4 m,20:55 1.03 m
Friday,29,68,03:08 3.46 m,09:14 1.02 m,71,15:23 3.47 m,21:30 0.95 m
Saturday,30,73,03:42 3.56 m,09:50 0.93 m,75,15:58 3.52 m,22:03 0.9 m
