Day,Day Number,Coef,High tide,Low tide,Coef 2,High tide 2,Low tide 2
Tuesday,01,77,04:47 3.55 m,10:44 0.86 m,81,16:57 3.77 m,23:06 0.72 m
Wednesday,02,84,05:15 3.66 m,11:14 0.74 m,86,17:27 3.83 m,23:34 0.67 m
Thursday,03,88,05:43 3.72 m,11:44 0.69 m,88,17:55 3.83 m,00:01 0.68 m
Friday,04,88,06:09 3.73 m,12:12 0.71 m,87,18:22 3.77 m,00:28 0.74 m
Saturday,05,86,06:37 3.69 m,12:40 0.77 m,83,18:50 3.66 m,00:54 0.84 m
Sunday,06,81,07:03 3.6 m,NC NC m,77,19:18 3.51 m,13:08 0.89 m
Monday,07,73,07:31 3.48 m,01:22 0.98 m,69,19:48 3.34 m,13:38 1.03 m
Tuesday,08,64,08:02 3.33 m,01:51 1.15 m,60,20:23 3.15 m,14:13 1.19 m
Wednesday,09,54,08:40 3.17 m,02:26 1.33 m,49,21:11 2.94 m,14:57 1.36 m
Thursday,10,44,09:37 3.02 m,03:13 1.52 m,40,22:25 2.78 m,16:00 1.52 m
Friday,11,37,11:02 2.93 m,04:25 1.68 m,37,00:09 2.77 m,17:35 1.57 m
Saturday,12,39,12:41 3.03 m,06:07 1.68 m,39,NC NC m,19:11 1.4 m
Sunday,13,45,01:37 2.98 m,07:37 1.46 m,53,13:58 3.31 m,20:21 1.1 m
Monday,14,61,02:39 3.29 m,08:39 1.13 m,71,14:57 3.64 m,21:13 0.77 m
Tuesday,15,80,03:29 3.62 m,09:30 0.78 m,88,15:46 3.96 m,21:59 0.48 m
Wednesday,16,96,04:14 3.91 m,10:15 0.48 m,102,16:32 4.21 m,22:42 0.28 m
Thursday,17,107,04:56 4.12 m,10:59 0.27 m,111,17:16 4.34 m,23:24 0.19 m
Friday,18,113,05:38 4.22 m,11:42 0.18 m,113,17:59 4.33 m,00:06 0.23 m
Saturday,19,112,06:20 4.21 m,12:25 0.21 m,109,18:43 4.2 m,00:47 0.38 m
Sunday,20,105,07:02 4.08 m,NC NC m,99,19:28 3.95 m,13:09 0.37 m
Monday,21,92,07:46 3.87 m,01:30 0.62 m,84,20:15 3.63 m,13:55 0.62 m
Tuesday,22,76,08:34 3.6 m,02:15 0.93 m,67,21:09 3.29 m,14:47 0.93 m
Wednesday,23,59,09:30 3.33 m,03:06 1.25 m,51,22:16 2.99 m,15:49 1.23 m
Thursday,24,45,10:42 3.11 m,04:09 1.52 m,40,23:43 2.83 m,17:09 1.43 m
Friday,25,37,12:10 3.03 m,05:35 1.67 m,37,NC NC m,18:42 1.47 m
Saturday,26,38,01:11 2.85 m,07:06 1.64 m,40,13:30 3.1 m,19:56 1.36 m
Sunday,27,44,02:17 2.99 m,07:12 1.48 m,48,13:29 3.25 m,19:48 1.21 m
Monday,28,53,02:03 3.16 m,08:00 1.29 m,58,14:14 3.4 m,20:27 1.06 m
Tuesday,29,63,02:40 3.34 m,08:38 1.1 m,68,14:52 3.54 m,21:00 0.93 m
Wednesday,30,72,03:12 3.49 m,09:12 0.95 m,75,15:24 3.63 m,21:31 0.83 m
Thursday,31,78,03:42 3.61 m,09:44 0.84 m,81,15:54 3.69 m,22:01 0.78 m
