Day,Day Number,Coef,High tide,Low tide,Coef 2,High tide 2,Low tide 2
Sunday,01,68,04:40 3.4 m,10:36 1.01 m,73,16:52 3.69 m,23:03 0.79 m
Monday,02,77,05:15 3.53 m,11:10 0.85 m,81,17:26 3.81 m,23:36 0.69 m
Tuesday,03,84,05:46 3.62 m,11:42 0.74 m,86,17:57 3.87 m,00:06 0.65 m
Wednesday,04,87,06:15 3.67 m,12:13 0.69 m,88,18:27 3.87 m,00:35 0.66 m
Thursday,05,88,06:43 3.67 m,12:43 0.71 m,87,18:55 3.8 m,NC NC m
Friday,06,85,07:10 3.62 m,01:03 0.73 m,83,19:23 3.69 m,13:12 0.79 m
Saturday,07,79,07:37 3.52 m,01:30 0.84 m,76,19:51 3.53 m,13:40 0.91 m
Sunday,08,72,08:05 3.4 m,01:57 0.99 m,67,20:20 3.35 m,14:09 1.06 m
Monday,09,63,08:35 3.25 m,02:26 1.16 m,58,20:53 3.15 m,14:42 1.23 m
Tuesday,10,53,09:12 3.08 m,02:59 1.35 m,48,21:37 2.95 m,15:22 1.41 m
Wednesday,11,43,10:04 2.93 m,03:44 1.53 m,38,22:46 2.78 m,16:22 1.58 m
Thursday,12,35,11:27 2.84 m,04:53 1.69 m,34,00:28 2.74 m,17:55 1.64 m
Friday,13,36,NC NC m,06:35 1.7 m,36,13:07 2.93 m,19:37 1.49 m
Saturday,14,42,02:01 2.92 m,08:04 1.5 m,49,14:25 3.21 m,20:47 1.18 m
Sunday,15,58,03:05 3.22 m,09:06 1.18 m,67,15:22 3.56 m,21:39 0.84 m
Monday,16,76,03:54 3.55 m,09:54 0.84 m,85,16:11 3.91 m,22:24 0.51 m
Tuesday,17,94,04:39 3.85 m,10:39 0.53 m,101,16:55 4.19 m,23:07 0.27 m
Wednesday,18,107,05:21 4.07 m,11:22 0.3 m,111,17:38 4.37 m,23:49 0.14 m
Thursday,19,114,06:02 4.19 m,12:04 0.18 m,115,18:22 4.41 m,00:30 0.15 m
Friday,20,114,06:43 4.19 m,12:46 0.19 m,112,19:04 4.31 m,NC NC m
Saturday,21,108,07:24 4.07 m,01:11 0.28 m,102,19:48 4.09 m,13:29 0.33 m
Sunday,22,96,08:08 3.86 m,01:53 0.52 m,88,20:35 3.76 m,14:14 0.57 m
Monday,23,79,08:55 3.58 m,02:38 0.84 m,70,21:28 3.4 m,15:05 0.89 m
Tuesday,24,61,09:52 3.29 m,03:30 1.19 m,52,22:36 3.06 m,16:06 1.21 m
Wednesday,25,45,11:07 3.06 m,04:35 1.5 m,39,00:08 2.86 m,17:30 1.44 m
Thursday,26,37,12:42 2.99 m,06:07 1.67 m,37,NC NC m,19:12 1.47 m
Friday,27,37,01:44 2.88 m,07:42 1.62 m,41,14:07 3.1 m,20:32 1.32 m
Saturday,28,45,02:52 3.04 m,08:49 1.43 m,51,15:06 3.3 m,21:23 1.13 m
Sunday,29,57,03:39 3.22 m,09:35 1.22 m,62,15:50 3.5 m,22:03 0.96 m
Monday,30,68,04:16 3.4 m,10:11 1.02 m,72,16:25 3.66 m,22:36 0.82 m
